id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6369,"Rooftop terrace room ,  ensuite bathroom",13660,Simon,Chamartín,Hispanoamérica,40.45628,-3.67763,Private room,70,1,68,2019-10-10,0.58,2,89
21853,Bright and airy room,83531,Abdel,Latina,Cármenes,40.40341,-3.74084,Private room,17,4,33,2018-07-15,0.53,2,99
23001,Apartmento Arganzuela- Madrid Rio,82175,Jesus,Arganzuela,Legazpi,40.38695,-3.69304,Entire home/apt,60,30,0,,,5,312
24805,Gran Via Studio Madrid,101471,Iraido,Centro,Universidad,40.42202,-3.70395,Entire home/apt,80,5,5,2019-10-29,0.08,1,361
24836,"Select the Madrid more ""cool"".",101653,Tenty,Centro,Justicia,40.41995,-3.69764,Entire home/apt,115,3,65,2019-10-14,0.63,1,322
26825,Single Room whith private Bathroom,114340,Agustina,Arganzuela,Legazpi,40.38985,-3.69011,Private room,25,2,138,2019-10-11,1.19,1,326
30320,Great Vacational Apartments,130907,Dana,Centro,Sol,40.41552,-3.70346,Entire home/apt,65,5,168,2019-07-09,1.48,3,332
30959,Beautiful loft in Madrid Center,132883,Angela,Centro,Embajadores,40.41111,-3.70269,Entire home/apt,54,3,8,2017-05-30,0.15,1,0
40916,Holiday Apartment Madrid Center,130907,Dana,Centro,Universidad,40.42096,-3.70428,Entire home/apt,90,3,43,2019-10-22,0.39,3,357
59923,Habitación para féminas en el centro de Madrid,288380,Patricia,Centro,Palacio,40.41971,-3.71256,Private room,40,1,17,2019-10-05,0.17,1,281
62423,MAGIC ARTISTIC HOUSE IN THE CENTER OF MADRID,303845,Arturo,Centro,Justicia,40.4208,-3.69878,Private room,45,1,68,2019-11-03,3.72,2,363
64131,Habitación Metro Lacoma,313365,Gina,Fuencarral - El Pardo,Peñagrande,40.48409,-3.72257,Private room,20,2,27,2019-10-01,0.46,2,336
70059,"PLAZA ESPAÑA/Wifi/ downtown /parking. Cozy, Bright",353616,Diana,Centro,Universidad,40.42365,-3.70889,Entire home/apt,65,5,90,2019-11-05,0.91,2,328
70310,"Heart of Malasaña Cozy, Quiet & Sunny Apartment",353738,Raquel,Centro,Universidad,40.42321,-3.70143,Entire home/apt,65,28,19,2019-10-11,0.18,5,325
70315,Superbly located 2 bedrooms 2 balconies,353738,Raquel,Centro,Palacio,40.42138,-3.71101,Entire home/apt,75,28,4,2019-10-31,0.05,5,163
70316,Superbly located Monthly rental Bills Incl.,353738,Raquel,Centro,Palacio,40.42111,-3.7101,Entire home/apt,75,28,6,2019-01-02,0.11,5,312
72150,Sunny attic duplex flat with terrace next to Sol,364585,Vin,Centro,Embajadores,40.41119,-3.7047,Entire home/apt,110,2,103,2019-10-23,0.97,5,178
72955,Madrid Apartment Prado Museum,378073,Alvaro,Centro,Cortes,40.41139,-3.69408,Entire home/apt,80,3,15,2019-10-20,0.24,9,352
74352,Cozy apartment in the coolest  neighbourhood,391014,Juan,Centro,Embajadores,40.41075,-3.70759,Entire home/apt,80,8,5,2019-08-04,0.18,1,128
75609,Estudio Museo Dino,401552,Mercedes,Centro,Embajadores,40.40743,-3.69719,Entire home/apt,64,3,53,2019-07-27,0.58,1,215
76617,Plaza Comendadoras Lux,368907,Miguel,Centro,Universidad,40.42791,-3.70999,Entire home/apt,102,3,35,2019-10-13,0.35,2,26
82481,"Retiro Park, Stay at cosy studio ",448981,Mercedes,Salamanca,Recoletos,40.42315,-3.68279,Entire home/apt,60,3,108,2017-11-29,1.04,1,0
84719,Cool Apart. (10min Center + WIFI),259229,Felipe,Centro,Embajadores,40.40865,-3.70534,Entire home/apt,60,3,181,2019-10-20,1.75,1,91
86042,Cozy attic flat with intimate rooftop terrace,364585,Vin,Centro,Embajadores,40.40894,-3.69766,Entire home/apt,100,2,146,2019-11-04,1.43,5,160
89954,Amazing apt in the historic center,487095,Alicia Y Carlos,Centro,Palacio,40.41218,-3.71369,Entire home/apt,110,2,201,2019-11-05,1.97,1,215
92920,Bedroom in Chueca Madrid,495849,Raul,Centro,Justicia,40.42422,-3.69538,Private room,55,2,90,2019-11-03,0.88,1,360
93100,*** MALASAÑA B&B ***,499977,Charo,Centro,Universidad,40.42462,-3.70352,Private room,32,1,610,2019-11-02,5.89,3,317
96072, Room for rent in Madrid,510570,Laura / Ismael,Tetuán,Cuatro Caminos,40.45559,-3.69421,Private room,25,3,178,2019-08-12,1.95,1,339
100411,Ático muy luminoso,527760,Diana,Fuencarral - El Pardo,Valverde,40.50116,-3.67119,Entire home/apt,60,2,3,2016-06-24,0.07,1,0
101507,NICE FLAT IN THE CENTER OF MADRID,5795235,Elise,Centro,Embajadores,40.40858,-3.70301,Entire home/apt,65,3,58,2019-10-13,0.78,4,265
102040,Nice Single Room with wifi.,533936,Carlos Alberto,Ciudad Lineal,Pueblo Nuevo,40.43331,-3.64355,Private room,20,3,0,,,1,19
102091,Family Apartment Two Bedrooms& Two Bathroom,534128,Madrid,Chamberí,Trafalgar,40.43158,-3.70071,Entire home/apt,194,3,8,2017-07-04,0.08,12,336
102194,CHIC APARTMENT CHUECA WiFi & AC,534515,Guillermo,Centro,Justicia,40.42153,-3.69923,Entire home/apt,95,2,17,2019-04-10,0.17,1,319
103522,"Apartamento zona Rastro. Cozy flat, Plaza Mayor.",539643,Juan Mariano,Centro,Embajadores,40.41158,-3.70607,Entire home/apt,68,4,27,2019-10-30,0.67,1,292
103541,CENTRAL AND COMFORT APTO. W/PARKING,361930,Maria,Chamberí,Almagro,40.43761,-3.69802,Entire home/apt,75,2,174,2019-10-26,1.71,4,296
109369,RENT ROOM FOR DAYS/ALQUILER HABITACION LUMINOSA,564773,Eva,Fuencarral - El Pardo,Pilar,40.48313,-3.71017,Private room,40,1,8,2019-06-13,0.61,1,334
112650,Madrid center 2 rooms 4 people,574498,Fernando,Centro,Universidad,40.42707,-3.70698,Entire home/apt,75,4,39,2019-06-04,0.69,1,161
114854,NICE CENTRAL TOURISM-BUSINESS APTO,361930,Maria,Chamberí,Rios Rosas,40.43825,-3.69388,Entire home/apt,75,2,104,2019-09-27,1.05,4,275
119389,Madrid Apartment Latina,378073,Alvaro,Centro,Palacio,40.40958,-3.71042,Entire home/apt,85,3,72,2019-10-17,0.73,9,274
120293,ROOM IN THE CENTER -LA LATINA- WIFI,605612,Ulises,Centro,Palacio,40.41112,-3.71025,Private room,35,1,188,2019-10-27,1.88,6,349
120762,SHINY ROOM in DOWNTOWN / MALASAÑA!!,606925,Noelia,Centro,Universidad,40.42381,-3.70571,Private room,29,1,218,2019-08-08,2.12,3,281
123864,LOVELY STUDIO IN OLD TOWN-A/C-WIFI,605612,Ulises,Centro,Embajadores,40.4112,-3.70762,Entire home/apt,67,1,514,2019-10-27,5.05,6,92
127819,140 m2 Architect flat center Madrid,632589,Janasor,Centro,Cortes,40.41466,-3.70162,Entire home/apt,200,2,75,2019-10-29,0.86,1,223
132428,Habitacion en Anton Martin,650803,Jose Luis,Centro,Embajadores,40.41034,-3.69836,Private room,30,3,87,2019-10-27,2.94,1,342
136058,"Calm, affordable room in Madrid.",666482,Cinthia,Villaverde,Los Angeles,40.35735,-3.69634,Private room,21,1,72,2018-12-16,0.71,1,221
150123,LOFT ELOISA,723539,Eloisa,Centro,Embajadores,40.40672,-3.70116,Entire home/apt,80,2,24,2019-10-06,0.56,9,16
154224,NICE FLAT SANTA ANA.45m2 WIFI (A),740087,Jesus&Sonia,Centro,Cortes,40.41493,-3.70105,Entire home/apt,69,3,82,2019-07-29,0.96,8,222
163429,Centrical loft in Madrid (Chamberi),780107,Sonia,Chamberí,Arapiles,40.43628,-3.70526,Entire home/apt,65,90,8,2019-03-17,0.08,1,0
167183,private house B & B. Arturo Soria (Metro),796746,Consuelo,Hortaleza,Piovera,40.45386,-3.64743,Private room,45,1,19,2019-10-09,0.21,2,361
169719,IN THE HEART OF MADRID WITH BALCONY,805726,Patricia,Centro,Cortes,40.41515,-3.70003,Private room,25,2,63,2019-06-09,0.63,5,340
170750,2-bedroom attic & rooftop terrace,814490,Rafael,Centro,Universidad,40.42481,-3.70374,Entire home/apt,90,25,190,2018-12-09,1.94,3,298
171144,Penthouse in PALACIO with 2 ROOMS,816497,Isabel,Centro,Palacio,40.41607,-3.71101,Entire home/apt,150,3,8,2019-10-11,0.08,2,346
177500,Fuencarral studio A,596469,Gabriel Avalos,Centro,Universidad,40.42762,-3.70323,Hotel room,80,5,24,2019-06-28,0.27,31,358
177523,Fuencarral Studio A1,596469,Gabriel Avalos,Centro,Universidad,40.42902,-3.70398,Hotel room,80,5,11,2019-07-06,0.11,31,359
177850,"PEQUEÑA HABITACIÓN EN CENTRO, EN BARRIO MALASAÑA",850654,Laila,Centro,Universidad,40.42623,-3.70462,Private room,19,4,98,2019-10-30,1.02,4,344
183309,CENTRAL REFURBISHED XIX CENTURY FLAT,877571,Lidia,Centro,Justicia,40.42397,-3.69463,Entire home/apt,90,1,6,2017-08-29,0.08,5,0
183346,ROOM IN CENTRAL REFURBISH FLAT,877571,Lidia,Centro,Justicia,40.42339,-3.69475,Private room,30,1,12,2016-05-29,0.16,5,0
183353,ROOM IN CENTRAL GENUINE CHARMINFLAT,877571,Lidia,Centro,Justicia,40.42259,-3.69394,Private room,30,1,40,2016-09-24,0.43,5,0
183435,CENTRAL REFURBISHED GENUINE XIXFLAT,877571,Lidia,Centro,Justicia,40.42396,-3.69545,Entire home/apt,89,1,0,,,5,0
191661,PLAZA MAYOR LOFT the genuine Madrid,927343,Jose,Centro,Sol,40.41516,-3.70731,Entire home/apt,70,3,215,2019-10-17,2.18,3,270
196197,Views of San Andres Baroque from a Central Madrid Apartment,852616,Meyling,Centro,Palacio,40.41088,-3.71098,Entire home/apt,77,3,261,2019-10-23,2.62,2,176
199016,Room in central top floor with 2 terraces,967721,Santi,Centro,Universidad,40.42538,-3.70505,Private room,25,1,24,2019-08-22,0.45,2,321
199201,"Converted theatre, historic centre",749212,Henrietta,Centro,Embajadores,40.41392,-3.70356,Private room,75,3,145,2019-10-20,1.46,1,326
200828,"FRENTE MAR, ZONA CALAS. PISCINA.",75944,Maite,Salamanca,Castellana,40.43186,-3.68515,Entire home/apt,140,7,0,,,1,159
201033,Shiny Room in Malasaña II/Center,606925,Noelia,Centro,Universidad,40.42384,-3.70686,Private room,40,1,46,2019-10-23,0.46,3,353
204570,Lovely 110m2 home - BEST LOCATION !,1004721,Alex,Centro,Cortes,40.41476,-3.69531,Entire home/apt,90,12,98,2019-10-09,0.99,1,120
205199,Tafari Gran Via,1008659,Nuria,Centro,Universidad,40.42063,-3.70539,Entire home/apt,85,3,267,2019-09-29,2.69,2,264
207275,Bedroom with views,124972,Luisa,Moncloa - Aravaca,Argüelles,40.42973,-3.72118,Private room,50,10,7,2019-10-04,0.08,5,345
209373,Attic in the Heart of Madrid-WIFI ,1031664,José,Centro,Embajadores,40.41273,-3.70324,Private room,30,25,33,2019-07-20,0.35,1,228
209780,The Mad B&B - Cool 3BD with Wifi & AC,669927,Diana,Carabanchel,Puerta Bonita,40.37987,-3.73215,Entire home/apt,95,2,178,2019-10-20,1.81,1,223
211444,Private Room in a Sunny and Luxuriously Appointed Apartment,1090760,Jon,Hortaleza,Canillas,40.45856,-3.64811,Private room,55,2,109,2019-10-27,1.12,1,328
